INDEX_NAME,YEAR,SEASON,LENGTH,FREQUENCY,STOCK,SURVEY
MADMF_Industry_SPRING,2003,SPRING,10,1,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,11,7,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,11,7,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,11,7,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,11,7,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,11,7,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,12,8,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,12,8,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,12,8,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,12,8,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,12,8,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,12,8,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,12,8,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,13,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,13,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,13,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,13,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,13,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,13,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,13,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,13,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,13,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,14,19,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,14,19,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,14,19,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,14,19,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,14,19,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,14,19,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,14,19,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,14,19,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,15,20,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,15,20,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,15,20,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,15,20,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,15,20,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,15,20,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,15,20,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,15,20,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,16,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,16,13,WGOM,MADMF Industry
MADMF_Industry_SPRING,2003,SPRING,16,13,WGOM,MADMF Industry
